#,影片名稱,秒數
15,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?aI9eILYr-30"", ""[電影] 魚樂園"")",03:38
16,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?XrFDGLDO4AI"", ""[節目] 長城繪"")",03:42
17,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?N0zhdMwD2Z8"", ""[演講] 柯文哲的生死的智慧"")",18:23
18,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?Ap0w3PgSK7g"", ""[演講] 呂世浩的學歷史的大用"")",19:45
19,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?SsYqGUYBPXo"", ""[演講] 李烈的逆境中的軟哲學"")",18:29
73,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?PXNu6mRj2YE"", ""[旅行] 瑞芳五分山騎單車"")",05:01
76,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?ziPlHti9Jh0"", ""[時尚] 劉嘉玲送給女人的生意經"")",03:33
77,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?TRScJA3Dt5o"", ""[訪談] 吃吃的愛"")",02:52
78,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?1UD65xHp1gw"", ""[脫口秀] 博恩買了韓國瑜的書"")",02:04
96,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?78zepIThqFM"", ""[旅行] 桃園大溪老街和豆干"")",03:02
230,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?LERnXvrpMTc"", ""[美食] 只要兩種材料的巧克力蛋糕"")",05:26
289,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?EDL9h4UFvSA"", ""[美食] 權力遊戲 冰原狼麵包"")",03:41
296,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?re=youtu.be"", ""[訪談] 台灣綜藝教父的家"")",03:45
301,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?WyI&index=7"", ""[時尚] 林依晨在紐約玩街拍"")",01:17
302,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?yI&index=11"", ""[時尚] 林志玲母親節送暖"")",01:14
332,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?T0xUGvV6Sg4"", ""[時尚] 桂綸鎂的改變世界的那個人，可能就是你"")",03:04
333,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?_AnFDHip8Rw"", ""[時尚] 桂綸鎂: 對不起，我不足了 "")",04:07
400,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?pyMel_pggA4"", ""[生活] 幫包包減肥的方法與心得分享"")",03:27
404,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?2k4OaBIdXLM"", ""[分享] 台風少年團馬嘉祺"")",00:57
405,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?xxDpfbU7UeM"", ""[旅行] 旅遊度假時, 穿搭必備的單品"")",02:19
406,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?yI&index=15"", ""[旅行] 泰國旅遊簽證新制"")",01:49
408,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?U0Z8u7sPY3U"", ""[留學] 省錢上美國大學的方法"")",02:16
417,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?I-LiBDH_GOw"", ""[時尚] 林依晨英倫圓夢演出 "")",02:26
420,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?IJD-xhcYRFE"", ""[時尚] 桂綸鎂在巴黎的夜晚 "")",02:12
421,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?XeeGa5B-HnE"", ""[知識] 股票的故事"")",02:26
422,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?agOM_-0Q0K8"", ""[科學] 飛鴿傳書是怎麼一回事"")",03:23
423,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?kLnNv2MtEWo"", ""[知識] 為什麼手濕濕的不要碰電源"")",02:05
424,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?xh&index=10"", ""[科學] 為什麼有時白開水會有甜味"")",02:35
425,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?rJWcr1dyyq8"", ""[科學] 為什麼到晚上會想睡覺"")",02:20
427,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?oNmr_P-hD9I"", ""[教育] 親愛的家長 素養教育你也有責"")",03:53
465,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?Y25liY5xUMo"", ""[教育] 從國小開始教就夠了嗎"")",02:14
466,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?TPfuD31Ot5o"", ""[知識] 溝通術：交流、說服與談判訣竅"")",03:16
468,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?p6s4dNTuYO8"", ""[時尚] 許瑋甯的健身操教學訪談 "")",01:36
469,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?8fLiopvxWFU"", ""[時尚] 稱霸台灣90年代超模們"")",02:19
471,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?XCTTusu2pHE"", ""[時尚] 台灣攝影師蔡宇"")",02:32
472,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?figD2E5t4b8"", ""[時尚] 招瑜珈動作增加身體核心穩定"")",02:59
482,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?ON-cqH_mXmY"", ""[生活] 明星豪宅設計師的家 "")",03:48
483,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?ZMPr9ejJzxw"", ""[時尚] 蕭亞軒的年假美貌攻略"")",01:56
486,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?JXJYQkHOEN8"", ""[時尚] 林辰唏分享當媽心路歷程"")",03:12
487,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?CFeTQRIF30k"", ""[時尚] 蔡瑞雪分享懶人健身術"")",01:23
497,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?kPR14v2OkLk"", ""[科學] 為什麼，你會容易情緒失控"")",03:09
498,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?5PFjRzhI4K4"", ""[科學] 文科女生好，理科男生強"")",01:33
500,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?kGhBONCTN_8"", ""[知識] 可口可樂10個你可能不知道的事"")",03:38
501,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?dItBxYtUH8s"", ""[知識] 6個咖啡的冷知識  "")",01:41
503,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?re=youtu.be"", ""[趣事] 交換禮物收到豪宅"")",02:33
510,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?Ek5ik5s1AwU"", ""[家庭] 台灣夫妻的養老豪宅"")",03:54
513,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?olLseabw50Y"", ""[設計] 建立自己的色彩品味資料庫"")",01:54
514,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?muyow7lx-1s"", ""[科技] Vyond 是什麼"")",01:29
515,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?S2NIWvIHMq8"", ""[教育] 善用玩具在家也能學注音"")",02:30
517,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?vnkoIcXivM4"", ""[技能] 超人氣吸睛表達力－職場必學表達課"")",02:37
523,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?1c7EDb8M7x4"", ""[時尚] 曲家瑞專訪高圓圓  "")",02:41
524,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?UmoOpASJ9kY"", ""[生活] 為什麽大牌明星都愛這個男人"")",02:06
537,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?loOsEz1aIeI"", ""[故事] 沒有經歷過的事情，不要輕易不相信"")",01:48
540,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?x9NWsGoAE5M"", ""[教學] 一起學中文中的眼中釘"")",02:04
543,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?DSlFMXWru9s"", ""[教學] 一起來學中文中的啤酒肚 "")",01:23
551,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?Ddt9uCXiyFg"", ""[旅行] 遊新北金山"")",02:05
552,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?brvr7uBeUog"", ""[旅行] 雲林縣斗六太平老街 "")",01:04
561,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?hS_AC3UnP6M"", ""[動物] 明星孫儷和她的狗狗們 "")",03:54
568,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?aDBJbNuJHJc"", ""[分享] 嘎老師又徵才"")",02:26
569,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?4mBu8g7ffGA"", ""[知識] 馬拉松篇"")",01:19
591,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?thDPZBBfYKc"", ""[理財] 投資理財第一步: 看懂財務報表"")",01:54
592,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?OgzCTmmLo00"", ""[理財] 財報對投資的重要性 "")",02:22
605,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?_NnExHF0-9U"", ""[健康] 用科學飲食邁向理想體態"")",02:14
610,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?mx6CMtCuDf4"", ""[健康] 飲食影響壽命長短"")",01:37
611,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?SubmZp6Fuec"", ""[時尚] 許茹芸面對冬天乾燥肌膚的飲食分享"")",01:17
624,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?IfjjAWllJYo"", ""[美食] 花田少年史炸火腿 "")",02:58
634,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?G80-lH6MArQ"", ""[訪談] 台北雙年展佈展花絮"")",02:01
635,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?uZQG2nxmi1Q"", ""[技巧] 用手機影像說故事"")",01:39
636,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?Tm2LiPp4phI"", ""[法律] 工作場所裝監視器？"")",02:22
642,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?mxfONU9ZcqM"", ""[繪畫] 跟著Zoey老師 油畫輕鬆學"")",02:39
643,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?jaK3Kj9zsyk"", ""[財務] 為什麼要學習 Python 資料分析"")",02:32
646,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?6TY3zK5408c"", ""[生活] 與民眾生活有關的智慧服務, 才是智慧城市的根本"")",02:23
647,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?Gnl02WDNb1U"", ""[街訪] 在大城市廣州買房，至少需要奮鬥幾年"")",02:01
654,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?vCadbzd1TwA"", ""[街訪] 在我們大廣州, 月工資低於多少才算是窮人"")",02:50
655,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?_w9E_YC3Zds"", ""[街訪] 男生具備什麽條件才能讓女人倒追"")",02:09
656,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?gdPB6KupCT0"", ""[街訪] 女生被醜男追求是種什麼體驗"")",02:16
662,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?144DUj1mwHY"", ""[學習] 形狀歌 "")",03:40
664,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?WKhFQGxE8iY"", ""[知識] 為什麼端午節要包粽子，划龍舟呢"")",02:27
665,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?zpqrEfYgxO4"", ""[知識] 父親節的由來是什麼"")",02:06
666,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?hwzfOgEhLzk"", ""[知識] 中國傳統節日故事"")",01:02
668,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?a0hHzHs1KVc"", ""[知識] 為什麼4/23是世界閱讀日"")",02:36
672,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?9a69qJRYPv8"", ""[生活] IKEA IKEA 法海到家收蛇妖"")",00:58
675,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?ZS4hiZWWjxA"", ""[感情] IKEA約會的二三事廣告影片"")",02:54
684,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?XTw5PyGCAfU"", ""[生活] 低價創造無價, 狗狗篇"")",00:36
685,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?5kwgAuqmDgo"", ""[生活] 低價創造無價,健身教練篇"")",00:36
688,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?re=emb_logo"", ""[感情] IKEA約會的二三事廣告影片舊情人篇"")",02:22
689,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?re=emb_logo"", ""[感情] IKEA約會的二三事廣告影片, 講道理篇"")",02:42
690,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?re=emb_logo"", ""[感情] 曖昧"")",01:51
692,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?Yw&index=18"", ""[生活] 大過年小改變小弟篇"")",00:31
693,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?Yw&index=32"", ""[生活] IKEA新型錄上市廣告影片"")",00:31
695,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?wJ&index=32"", ""[挑戰] 喝完一罐瑞穗巧克力調味乳，要花幾秒"")",02:58
696,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?wJ&index=38"", ""[娛樂] 用一首歌介紹四隻貓咪"")",02:47
703,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?TbdWw6mzAfY"", ""[生活] 比手機重要的事"")",01:35
704,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?EojvnYcFP18"", ""[感情] IKEA約會的情侶篇"")",01:51
707,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?oAFmaBFllX0"", ""[家庭] 好臥房讓媽媽充滿能量"")",00:33
708,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?Yw&index=16"", ""[家庭] 好好吃飯桌"")",00:33
709,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?2kkyphIsduM"", ""[生活] 居家改造影片"")",03:12
710,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?Hhb7PY89IFw"", ""[家庭] 辣媽居家改造"")",03:16
712,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?RfSxU5ncQMY"", ""[家庭] 新人成家"")",01:50
713,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?mH5s2BdD9uI"", ""[家庭] 平淡是幸福"")",00:33
714,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?c2tXy1-0jUQ"", ""[家庭] 戒菸最幸福的選擇"")",01:53
719,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?0zTsOl89AAY"", "" [感情] 我的愛情故事"")",02:15
735,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?lmu8I2N7BdI"", ""[技巧] 讓廢片瞬間有電影質感的四大技巧"")",02:35
739,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?1RNFE4690fk"", "" [學習] 中文數字 1 到 100 "")",03:37
740,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?5VNVgjbwQNo"", ""[學習] 動畫系面試 5 個小提醒 "")",02:10
745,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?JIWdqBdxqTE"", ""[學習] 每日一詞:介意"")",01:06
746,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?AAG8gk3gUfg"", ""[學習] 每日一詞: 隨時隨地"")",01:02
747,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?okZpOUEcSzs"", ""[學習] 每日一詞: 平時"")",01:09
767,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?nYNHll6is6Y"", ""[學習] 這些蔬菜中文怎麼講呢 - 第一片"")",03:44
782,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?sRQ&index=5"", ""[學習] 這些動物中文怎麼說 - 第二片"")",03:40
783,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?sRQ&index=6"", ""[學習] 這些蔬菜中文怎麼講呢 - 第一片"")",03:34
784,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?sRQ&index=9"", ""[學習] 這些蔬菜中文怎麼講呢 - 第二片"")",03:29
787,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?JBN-k3-noVo"", ""[美食] 西紅柿肉醬意麵"")",03:31
792,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?PlgpQu2rBjs"", ""[學習] 每日一詞: 不足為奇"")",01:05
793,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?IPxQFLUSnsc"", ""[學習] 每日一詞: 巴不得"")",01:01
794,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?5TouKBMbKEk"", ""[學習] 每日一詞: 划不來"")",00:41
798,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?7gXWXbX6Bq0"", ""[生活] 為什麼復活節要吃彩蛋"")",01:58
799,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?olcFvdHGtiw"", ""[時尚] 陳庭妮近距訪問范冰冰"")",02:42
800,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?3Mp3ogwG4Ks"", ""[家庭] 母親越獨立，孩子越幸福"")",03:30
801,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?PGqeTadd-Fs"", ""[旅行] 台灣十大最美民宿之一"")",02:34
802,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?rR3LR-_jd28"", ""[家庭] 65歲爺爺送妻子粉色豪宅"")",02:41
803,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?z&index=122"", ""[科學] 艾滋病絕不是你想象的那樣"")",02:01
814,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?f&index=121"", ""[時尚] 讓狗仔隊絕望的女明星"")",03:41
816,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?lLbBZxMsj2c"", ""[建築] 跨國好友改造北京胡同"")",03:25
818,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?McruYgIr9iM"", ""[建築] 廣州老房子改造成獨棟小樓"")",03:16
822,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?uinJX5Tq-j0"", ""[科技] 你不知道的深夜街頭遊戲"")",01:37
831,"=HYPERLINK(""https://manage.italkutalk.com/gameTimeCheck/88B1DA8D836871D21324214AE66A2FD26B741B27?3KuQ-O-Jb1c"", ""[建築] 深山裡的情趣驚豔客房"")",02:49
